Fila A(m),Col.A/FilaB(n),Col.B(p),Tamano(m x n x p),Estandar,Optimizada
4,4,2,32,5,10
2,3,4,24,1,2
5,7,8,280,3,5
11,7,8,616,3,9
12,20,24,5760,12,18
15,16,22,5280,10,11
30,32,34,32640,30,35
25,34,44,37400,31,36
77,93,57,408177,311,287
72,79,65,369720,301,270
189,161,133,4047057,2485,2164
165,157,141,3652605,2154,1871
367,289,203,21530789,9473,7969
247,223,365,20104565,9011,7703
612,389,685,163076580,117148,65813
469,674,542,171329452,125056,69187
1372,932,1173,1499919792,1606696,580686
1121,771,862,745018842,744212,297904
2918,1585,2547,11779951410,16816010,5442490
1995,1814,2302,8330776860,13733136,5267831
