Sorted Lists
Tamano,Selection Sort,Merge Sort,Quick Sort,Intro Sort
10,0,11,0,0
50,1,12,1,3
100,4,15,5,6
200,14,29,16,13
300,31,47,32,21
500,85,77,70,39
1000,343,168,280,93
5000,8649,776,4196,225
10000,15759,813,11788,438
15000,34889,1190,27191,771
25000,118492,3915,87325,1128
50000,462758,3835,359866,2276
75000,1012607,7790,742354,3899
100000,1750480,7507,1239795,4680
150000,3783484,11493,2881255,7244
200000,7436365,23176,6252552,10298
250000,14371370,21705,7913227,14422
350000,21667944,34814,18075596,18310
500000,78944939,83541,64678719,26594
650000,116087244,104190,114283033,56645

Random Lists
Tamano,Selection Sort,Merge Sort,Quick Sort,Intro Sort
10,0,3,0,0
50,2,10,1,1
100,15,32,3,3
200,38,45,8,6
300,48,67,13,11
500,136,154,26,24
1000,559,261,59,53
5000,12136,1052,267,233
10000,39097,2083,493,467
15000,65699,1877,556,567
25000,107789,3227,1006,1016
50000,752940,6940,2214,2282
75000,1592063,17343,6820,4488
100000,3236376,21270,7292,6954
150000,7527670,32013,17787,9048
200000,11451505,55592,26501,17534
250000,20716382,52950,41203,15691
350000,38752316,78427,34620,24553
500000,76396451,115950,84474,33871
650000,138519328,146189,132525,34074

Partial Lists
Tamano,Selection Sort,Merge Sort,Quick Sort,Intro Sort
10,0,4,0,0
50,3,17,3,3
100,10,33,8,8
200,33,68,21,15
300,100,32,22,8
500,96,76,35,17
1000,193,93,107,34
5000,4017,507,2315,194
10000,15833,1021,8884,401
15000,35144,1678,20036,977
25000,246304,4662,212605,1050
50000,962704,9227,529595,4360
75000,2046466,14098,1421423,4856
100000,3188769,14655,1668963,6567
150000,7592563,31644,4839816,10401
200000,11485337,38212,8107139,9559
250000,18217630,27935,14261637,17444
350000,37063937,40677,23009292,25166
500000,66285887,58557,49731712,33015
650000,105325460,83886,43650725,40566

Reversed Lists
Tamano,Selection Sort,Merge Sort,Quick Sort,Intro Sort
10,0,2,0,0
50,1,5,1,2
100,3,10,3,4
200,11,17,10,9
300,23,28,21,13
500,56,51,56,23
1000,204,79,189,49
5000,4798,425,4628,262
10000,20116,944,21745,619
15000,48921,1509,51830,967
25000,133617,2328,131466,1454
50000,554546,4950,542493,3299
75000,1246362,7592,1232519,4533
100000,2057407,9327,2224394,7210
150000,5276645,14057,4849133,9572
200000,8220033,17098,7646788,12107
